_id,id,name,original_name,overview,tagline,in_production,status,original_language,origin_country[0],origin_country[1],origin_country[2],origin_country[3],origin_country[4],origin_country[5],origin_country[6],origin_country[7],first_air_date,last_air_date,number_of_episodes,number_of_seasons,poster_path,genres[0].id,genres[1].id,genres[2].id,genres[3].id,genres[4].id,genres[5].id,genres[6].id,genres[7].id,genres[0].name,genres[1].name,genres[2].name,genres[3].name,genres[4].name,genres[5].name,genres[6].name,genres[7].name,genres[0]._id,genres[1]._id,genres[2]._id,genres[3]._id,genres[4]._id,genres[5]._id,genres[6]._id,genres[7]._id,vote_average,vote_count,popularity,created_by[0].id,created_by[1].id,created_by[2].id,created_by[3].id,created_by[4].id,created_by[5].id,created_by[6].id,created_by[7].id,created_by[8].id,created_by[9].id,created_by[10].id,created_by[11].id,created_by[12].id,created_by[13].id,created_by[14].id,created_by[15].id,created_by[0].name,created_by[1].name,created_by[2].name,created_by[3].name,created_by[4].name,created_by[5].name,created_by[6].name,created_by[7].name,created_by[8].name,created_by[9].name,created_by[10].name,created_by[11].name,created_by[12].name,created_by[13].name,created_by[14].name,created_by[15].name,created_by[0]._id,created_by[1]._id,created_by[2]._id,created_by[3]._id,created_by[4]._id,created_by[5]._id,created_by[6]._id,created_by[7]._id,created_by[8]._id,created_by[9]._id,created_by[10]._id,created_by[11]._id,created_by[12]._id,created_by[13]._id,created_by[14]._id,created_by[15]._id,production_companies[0].id,production_companies[1].id,production_companies[2].id,production_companies[3].id,production_companies[4].id,production_companies[5].id,production_companies[6].id,production_companies[7].id,production_companies[8].id,production_companies[9].id,production_companies[10].id,production_companies[11].id,production_companies[12].id,production_companies[13].id,production_companies[14].id,production_companies[15].id,production_companies[16].id,production_companies[17].id,production_companies[0].name,production_companies[1].name,production_companies[2].name,production_companies[3].name,production_companies[4].name,production_companies[5].name,production_companies[6].name,production_companies[7].name,production_companies[8].name,production_companies[9].name,production_companies[10].name,production_companies[11].name,production_companies[12].name,production_companies[13].name,production_companies[14].name,production_companies[15].name,production_companies[16].name,production_companies[17].name,production_companies[0].logo_path,production_companies[1].logo_path,production_companies[2].logo_path,production_companies[3].logo_path,production_companies[4].logo_path,production_companies[5].logo_path,production_companies[6].logo_path,production_companies[7].logo_path,production_companies[8].logo_path,production_companies[9].logo_path,production_companies[10].logo_path,production_companies[11].logo_path,production_companies[12].logo_path,production_companies[13].logo_path,production_companies[14].logo_path,production_companies[15].logo_path,production_companies[16].logo_path,production_companies[17].logo_path,production_companies[0].origin_country,production_companies[1].origin_country,production_companies[2].origin_country,production_companies[3].origin_country,production_companies[4].origin_country,production_companies[5].origin_country,production_companies[6].origin_country,production_companies[7].origin_country,production_companies[8].origin_country,production_companies[9].origin_country,production_companies[10].origin_country,production_companies[11].origin_country,production_companies[12].origin_country,production_companies[13].origin_country,production_companies[14].origin_country,production_companies[15].origin_country,production_companies[16].origin_country,production_companies[17].origin_country,production_companies[0]._id,production_companies[1]._id,production_companies[2]._id,production_companies[3]._id,production_companies[4]._id,production_companies[5]._id,production_companies[6]._id,production_companies[7]._id,production_companies[8]._id,production_companies[9]._id,production_companies[10]._id,production_companies[11]._id,production_companies[12]._id,production_companies[13]._id,production_companies[14]._id,production_companies[15]._id,production_companies[16]._id,production_companies[17]._id,__v
6457d26c7b901e08b141869d,13,How do you like Wednesday?,水曜どうでしょう,"How do you like Wednesday? was a Japanese television variety series that aired on the HTB network in Hokkaidō, Japan, and on other regional television networks in Japan. The program debuted on HTB on October 9, 1996. The series was one of the first local variety programs to be produced on Hokkaido; prior to this series' launch, local variety programs in Hokkaidō were virtually non-existent. The program also had a significant influence on other local programs in other regions in Japan, most notably Kwangaku! in Kansai and Nobunaga in Tokai.\n\nThe series achieved a record 18.6% viewing share on December 8, 1999, the highest share for a late-night program on a local TV station.\n\nProduction of the weekly regular series ended in September 2002, though new limited-run series were produced on average of every 18 months; the latest series was shown on HTB in late 2005, eight episodes in length.\n\nMost of the series have been rerun under the names of Dōdeshō Returns and Suiyō Dōdeshō Classic.",,true,Returning Series,ja,JP,,,,,,,,1996-10-09,2022-02-16,568,4,/i2MwS6U0XzD8ad6aS3HiTNKz8ov.jpg,35,,,,,,,,Comedy,,,,,,,,6457d26c7b901e08b141869e,,,,,,,,9.2,2,21.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b141867a,2,Clerks,Clerks,"The continuing adventures of store clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.",,false,Canceled,en,US,,,,,,,,2000-05-31,2002-12-22,6,1,/xunXvzFlkf1GGgMkCySA9CCFumB.jpg,16,35,,,,,,,Animation,Comedy,,,,,,,6457d26c7b901e08b1418682,6457d26c7b901e08b1418683,,,,,,,6.897,78,10.62,19303,20503,57407,,,,,,,,,,,,,,Kevin Smith,Scott Mosier,David Mandel,,,,,,,,,,,,,,6457d26c7b901e08b141867b,6457d26c7b901e08b141867c,6457d26c7b901e08b141867d,,,,,,,,,,,,,,1558,16934,90044,14,,,,,,,,,,,,,,,Touchstone Television,View Askew Productions,Woltz International Pictures Corporation,Miramax,,,,,,,,,,,,,,,/wwaKUcOENHix2jxLfFBfNkCtOEQ.png,/we7afRGM67vr7oMSBYh4xZ9yNWC.png,,/m6AHu84oZQxvq7n1rsvMNJIAsMu.png,,,,,,,,,,,,,,,US,US,,US,,,,,,,,,,,,,,,6457d26c7b901e08b141867e,6457d26c7b901e08b141867f,6457d26c7b901e08b1418680,6457d26c7b901e08b1418681,,,,,,,,,,,,,,,
6457d26c7b901e08b141869f,14,Shuriken School,Shuriken School,"Shuriken School is a British animated series that first aired on August 20, 2006 on Nickelodeon and then on YTV a few weeks later. It has also been airing on Jetix in the UK since February 2006, as well as on CITV. In the United States, the show aired on Nicktoons Network and Nickelodeon. In Latin America is aired on Jetix.",,false,Ended,en,FR,ES,,,,,,,2006-08-20,2006-11-11,26,1,/khXHvYKAvGqjtnKoLVYZr8r5yKD.jpg,35,16,10759,,,,,,Comedy,Animation,Action & Adventure,,,,,,6457d26c7b901e08b14186a2,6457d26c7b901e08b14186a3,6457d26c7b901e08b14186a4,,,,,,5.5,6,3.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75257,17065,,,,,,,,,,,,,,,,,Zinkia Entertainment,Studio Xilam,,,,,,,,,,,,,,,,,,/mqoS56YswPVBO3nriH2Qj6pWWbY.png,,,,,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,6457d26c7b901e08b14186a0,6457d26c7b901e08b14186a1,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186a5,15,Mister Rogers' Neighborhood,Mister Rogers' Neighborhood,"Mister Rogers' Neighborhood is an American children's television series that was created and hosted by namesake Fred Rogers. The series originated in 1963 as Misterogers on CBC Television, and was later debuted in 1966 as Misterogers' Neighborhood on the regional Eastern Educational Network, followed by its US network debut on February 19, 1968, and it aired on NET and its successor, PBS, until August 31, 2001. The series is aimed primarily at preschool ages 2 to 5, but has been stated by PBS as ""appropriate for all ages"". Mister Rogers' Neighborhood was produced by Pittsburgh, Pennsylvania, USA public broadcaster WQED and Rogers' non-profit production company Family Communications, Inc.; previously known as Small World Enterprises prior to 1971, the company was renamed The Fred Rogers Company after Rogers' death.",Won't you be my neighbor?,false,Ended,en,US,,,,,,,,1968-02-19,2001-09-07,850,31,/4Gz46uJg6MFaM4xeblbVNSxCyTr.jpg,10762,,,,,,,,Kids,,,,,,,,6457d26c7b901e08b14186aa,,,,,,,,4.977,88,19.167,1074129,,,,,,,,,,,,,,,,Fred Rogers,,,,,,,,,,,,,,,,6457d26c7b901e08b14186a6,,,,,,,,,,,,,,,,16021,176624,176625,,,,,,,,,,,,,,,,WQED,Small World Enterprises,Family Communications,,,,,,,,,,,,,,,,/2bjAiWiyI4nUWzxLcnGejDO0amC.png,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,6457d26c7b901e08b14186a7,6457d26c7b901e08b14186a8,6457d26c7b901e08b14186a9,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186ab,16,Sidewalks: Video Nite,Sidewalks: Video Nite,"Sidewalks: Video Nite is an American television show featuring music videos. The show is a spin-off from Sidewalks Entertainment.\n\nSidewalks: Video Nite's music format is primarily POP and R&B. The show also airs country, jazz, and hip hop clips.",,false,Ended,en,US,,,,,,,,,2005-09-09,399,11,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.91,1211910,,,,,,,,,,,,,,,,Richard R. Lee,,,,,,,,,,,,,,,,6457d26c7b901e08b14186ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186ae,18,W*A*L*T*E*R,W*A*L*T*E*R,"W*A*L*T*E*R is a pilot for a spin-off of M*A*S*H made in 1984 that was never picked up. It starred Gary Burghoff, who reprised his M*A*S*H character.\n\nThe show relates the adventures of Corporal Walter O'Reilly after he returns home from the Korean War. He is no longer calling himself ""Radar"" and has moved away from Iowa after he sent his mother to live with his aunt. Settling in St. Louis, Missouri, by the beginning of the series he has become a police officer, though his character is still as in the original series.",,false,Ended,en,US,,,,,,,,1984-07-17,,0,0,/fwSw4fl08MVl5w6Q9lVUGIFkZQ2.jpg,35,,,,,,,,Comedy,,,,,,,,6457d26c7b901e08b14186b1,,,,,,,,5.643,7,3.436,19138,,,,,,,,,,,,,,,,Bill Bixby,,,,,,,,,,,,,,,,6457d26c7b901e08b14186af,,,,,,,,,,,,,,,,1556,,,,,,,,,,,,,,,,,,20th Century Fox Television,,,,,,,,,,,,,,,,,,/31h94rG9hzjprXoYNy3L1ErUya2.png,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,6457d26c7b901e08b14186b0,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186c9,25,Star Wars: Droids,Star Wars: Droids,An animated television series that features the exploits of R2-D2 and C-3PO. The series takes place between the events depicted in Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope.,,false,Ended,en,CA,US,,,,,,,1985-09-07,1985-11-30,13,1,/b3gsZSTauRBJDJvWCbD9oVAsFe1.jpg,10762,16,10759,10765,,,,,Kids,Animation,Action & Adventure,Sci-Fi & Fantasy,,,,,6457d26c7b901e08b14186d0,6457d26c7b901e08b14186d1,6457d26c7b901e08b14186d2,6457d26c7b901e08b14186d3,,,,,5.2,66,11.592,1,670,68738,110557,,,,,,,,,,,,,George Lucas,Ben Burtt,Clive A. Smith,Raymond Jafelice,,,,,,,,,,,,,6457d26c7b901e08b14186ca,6457d26c7b901e08b14186cb,6457d26c7b901e08b14186cc,6457d26c7b901e08b14186cd,,,,,,,,,,,,,108270,1,,,,,,,,,,,,,,,,,Lucasfilm Animation,Lucasfilm Ltd.,,,,,,,,,,,,,,,,,/eDWGeg5tdVNcI8aBaaJ21bEBtFa.png,/o86DbpburjxrqAzEDhXZcyE8pDb.png,,,,,,,,,,,,,,,,,US,US,,,,,,,,,,,,,,,,,6457d26c7b901e08b14186ce,6457d26c7b901e08b14186cf,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186d7,27,Bratz,Bratz,"Bratz is a computer-animated television series, based on a line of toy dolls of the same name. It is produced by Mike Young Productions and MGA Entertainment, and premiered on 4Kids TV on the Fox Television Network.",,false,Ended,en,US,,,,,,,,,,0,2,/qbQfewZQRwQMrd4enAPRx5AMjng.jpg,,,,,,,,,,,,,,,,,,,,,,,,,8.429,7,2.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186d8,29,"Mary Hartman, Mary Hartman","Mary Hartman, Mary Hartman","In the fictional town of Fernwood, Ohio, suburban housewife Mary Hartman seeks the kind of domestic perfection promised by Reader’s Digest and TV commercials. Instead she finds herself suffering the slings and arrows of outrageous fortune: mass murders, low-flying airplanes and waxy yellow buildup on her kitchen floor.",,false,Ended,en,US,,,,,,,,1976-01-05,1977-03-10,307,2,/O1bcYEBW8v7JOMNVpYOBTL6PjL.jpg,18,10766,35,,,,,,Drama,Soap,Comedy,,,,,,6457d26c7b901e08b14186df,6457d26c7b901e08b14186e0,6457d26c7b901e08b14186e1,,,,,,6.2,8,14.367,68294,170497,1211973,1211974,1211980,,,,,,,,,,,,Gail Parent,Norman Lear,Ann Marcus,Jerry Adelman,Daniel Gregory Browne,,,,,,,,,,,,6457d26c7b901e08b14186d9,6457d26c7b901e08b14186da,6457d26c7b901e08b14186db,6457d26c7b901e08b14186dc,6457d26c7b901e08b14186dd,,,,,,,,,,,,14109,,,,,,,,,,,,,,,,,,TAT Communications Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6457d26c7b901e08b14186de,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186ea,31,French Fields,French Fields,"French Fields is a British situation comedy. It ran for 19 episodes from 5 September 1989 to 8 October 1991. It was written by John T. Chapman and Ian Davidson and was produced by Thames Television for ITV.\n\nThe series starred Anton Rodgers and Julia McKenzie as husband and wife William and Hester Fields and followed the series Fresh Fields, which ran from 7 March 1984 to 23 October 1986. At the end of the last series of Fresh Fields, William accepted a position with a French company. French Fields follows Hester and William after they make the move to Calais.\n\nOther regular cast included their French real estate agent Chantal, who was also the Fields' neighbour to the left. On the right, were the horrible and snobbish English couple the Trendles. Hester and William also coped with Madame Remoleux, an unintelligible and ancient French woman who lived in and cared for the estate — called Les Hirondelles — where they all lived. Also, popping in on a regular basis, were local farmer and mayor Monsieur Dax and his daughter Marie-Christine, to whom Hester did her best to teach English. Nicholas Courtney also appeared frequently as the Marquis.",,false,Ended,en,GB,,,,,,,,1989-09-05,1991-10-08,18,3,,35,,,,,,,,Comedy,,,,,,,,6457d26c7b901e08b14186eb,,,,,,,,7.3,3,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b14186ff,36,Medium,Medium,Allison Dubois works in the District Attorney’s office using her natural intuition about people and her ability to communicate with the dead to help to solve crimes. Her dreams often give her clues to the whereabouts of missing people.,She Sees What Others Can't.,false,Ended,en,US,,,,,,,,2005-01-03,2011-01-21,130,7,/aqawO5mYblDRwEmHjMiLJa8LyIr.jpg,80,18,9648,10765,,,,,Crime,Drama,Mystery,Sci-Fi & Fantasy,,,,,6457d26c7b901e08b1418706,6457d26c7b901e08b1418707,6457d26c7b901e08b1418708,6457d26c7b901e08b1418709,,,,,7.559,450,41.866,58463,,,,,,,,,,,,,,,,Glenn Gordon Caron,,,,,,,,,,,,,,,,6457d26c7b901e08b1418700,,,,,,,,,,,,,,,,55015,19364,55016,9223,1081,,,,,,,,,,,,,,Pointe Studios,Picturemaker Productions,Grammnet Productions,Paramount Television Studios,CBS Studios,,,,,,,,,,,,,,,,,/of4mmVt6egYaO9oERJbuUxMOTkj.png,/19kn4jVvpc3sAL3YpZNb3elhSMl.png,,,,,,,,,,,,,,,,US,US,US,,,,,,,,,,,,,,6457d26c7b901e08b1418701,6457d26c7b901e08b1418702,6457d26c7b901e08b1418703,6457d26c7b901e08b1418704,6457d26c7b901e08b1418705,,,,,,,,,,,,,,
6457d26c7b901e08b1418717,41,Dolly,Dolly,Dolly is a television variety show that ran on ABC during the 1987-1988 season featuring Dolly Parton.,,false,Ended,en,US,,,,,,,,1987-09-27,1988-05-10,22,1,,35,,,,,,,,Comedy,,,,,,,,6457d26c7b901e08b141871b,,,,,,,,0,0,1.443,67274,70458,,,,,,,,,,,,,,,Dolly Parton,Sandy Gallin,,,,,,,,,,,,,,,6457d26c7b901e08b1418718,6457d26c7b901e08b1418719,,,,,,,,,,,,,,,5842,,,,,,,,,,,,,,,,,,Sandollar Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,6457d26c7b901e08b141871a,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b1418740,48,Absolutely,Absolutely,"Absolutely is a popular UK television comedy sketch show shown on Channel 4 between 1989 and 1993.\n\nThe cast and crew were mainly Scottish; the principal writers and performers were Moray Hunter, Jack Docherty, Peter Baikie, Gordon Kennedy, Morwenna Banks and John Sparkes. It was directed by Phil Chilvers, Alan Nixon, Alistair Clark, and Graham C Williams. The show's producers were Alan Nixon, and David Tyler",,false,Ended,en,GB,,,,,,,,1989-05-23,1993-02-26,28,4,/hFVjZtt5hhNH0Su6xQQRD9XjWLm.jpg,35,,,,,,,,Comedy,,,,,,,,6457d26c7b901e08b1418741,,,,,,,,4.3,3,3.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b1418749,51,Houston Knights,Houston Knights,"Houston Knights is an American crime drama set in Houston, Texas. The show ran on CBS from 1987 to 1988 and had 31 episodes. The core of the show was the partnership between two very different cops from two different cultures. Chicago cop Joey LaFiamma, played by Michael Paré, is transferred to Houston after he kills a mobster from a powerful Mafia family and a contract is put out on him. Once there, he is partnered with Levon Lundy, played by Michael Beck, the grandson of a Texas Ranger.\n\nAlthough as different as night and day, and after a rocky beginning they form a successful partnership and become friends. This is aided to a certain extent by an event where a hitman from Chicago who holds the contract to shoot La Fiamma arrives in Houston and is ultimately killed by Lundy.\n\nDuring the series, it is revealed that both La Fiamma and Lundy have their own personal demons; La Fiamma's Chicago police partner had been killed when he went ahead while La Fiamma had waited for backup to arrive. Lundy's wife had been killed by an explosion that was intended to kill him.",,false,Ended,en,US,,,,,,,,1987-03-11,1988-06-07,31,2,/pzfECkrZHkS3UXRsMcxvCB1O3Al.jpg,18,80,,,,,,,Drama,Crime,,,,,,,6457d26c7b901e08b141874d,6457d26c7b901e08b141874e,,,,,,,5.5,2,3.136,56191,1212416,,,,,,,,,,,,,,,Michael Butler,Jay Bernstein,,,,,,,,,,,,,,,6457d26c7b901e08b141874a,6457d26c7b901e08b141874b,,,,,,,,,,,,,,,3614,,,,,,,,,,,,,,,,,,Columbia Pictures Television,,,,,,,,,,,,,,,,,,/qFRpYYtU9iyVKDMpm3a8tN7Q7YE.png,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,6457d26c7b901e08b141874c,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b141875c,55,North of 60,North of 60,"North of 60 is a mid-1990s Canadian television series depicting life in the sub-Arctic northern boreal forest. It first aired on CBC Television in 1992 and was syndicated around the world. It is set in the fictional community of Lynx River, a primarily Native-run town depicted as being in the Dehcho Region, Northwest Territories. Most of the characters were Dene. Some non-native characters had important roles: the restaurant/motel owner, the band manager, the nurse and the town's main RCMP officer. The show explored themes of Native poverty, alcoholism, cultural preservation and conflict over land settlements and natural resource exploitation. Originally somewhat light-hearted, it quickly became a more dramatic and ponderous series.",,false,Ended,en,CA,,,,,,,,1992-12-03,2005-01-30,95,6,/twsoO8NCTitfW4My9wKz2p5yJou.jpg,18,,,,,,,,Drama,,,,,,,,6457d26c7b901e08b141875d,,,,,,,,5.6,42,5.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b1418761,57,Angela's Eyes,Angela's Eyes,"FBI agent Angela Clinton has the exceptional gift of knowing when someone is lying. She discovered this skill at age 14, when she learned her ""average"" American parents were actually spies. Attempting to right her parents' wrong, Angela is now working with the same agency that brought her parents down.",Meet the FBI's best lie detector.,false,Ended,en,US,,,,,,,,2006-07-16,2006-10-15,13,1,/o5jgPizvKMRYKUB2oOGE0Hglows.jpg,18,10759,,,,,,,Drama,Action & Adventure,,,,,,,6457d26c7b901e08b1418766,6457d26c7b901e08b1418767,,,,,,,7,2,5.486,1596827,,,,,,,,,,,,,,,,Dan McDermott,,,,,,,,,,,,,,,,6457d26c7b901e08b1418762,,,,,,,,,,,,,,,,86426,86425,26727,,,,,,,,,,,,,,,,Bull's Eyes Entertainment,The Cleary Company,Universal Television,,,,,,,,,,,,,,,,,,/jeTxdjXhzgKZyLr3l9MllkTn3fy.png,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,6457d26c7b901e08b1418763,6457d26c7b901e08b1418764,6457d26c7b901e08b1418765,,,,,,,,,,,,,,,,
6457d26c7b901e08b1418769,59,The European Side,Avrupa Yakası,The life and times of rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,,false,Ended,tr,TR,,,,,,,,2004-02-11,2009-06-24,191,6,/4JSQb4uFPNLunGsS9FjY9wYhOj.jpg,10751,35,,,,,,,Family,Comedy,,,,,,,6457d26c7b901e08b141876c,6457d26c7b901e08b141876d,,,,,,,7.721,43,7.568,120682,,,,,,,,,,,,,,,,Gülse Birsel,,,,,,,,,,,,,,,,6457d26c7b901e08b141876a,,,,,,,,,,,,,,,,70695,,,,,,,,,,,,,,,,,,Plato Film Production,,,,,,,,,,,,,,,,,,/XqfGZYm5Vk8rHEKkgx91XD3Ooy.png,,,,,,,,,,,,,,,,,,TR,,,,,,,,,,,,,,,,,,6457d26c7b901e08b141876b,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b141877a,64,The Surgeon,The Surgeon,The Surgeon was an Australian primetime television Medical drama. It screened at 9:30pm on Thursdays on Network Ten and in Ireland early morning on RTÉ One. The show was based at a fictional hospital named Sydney General Hospital.\n\nThe first season consisted of 8 half-hour episodes. The show was not renewed for a second season due to a number of poor reviews and lack of sufficient ratings.,,false,Ended,en,AU,,,,,,,,2005-10-13,2005-12-01,8,1,/zePuPYhhtfWEF4zq1tSqxYNf7Uk.jpg,18,,,,,,,,Drama,,,,,,,,6457d26c7b901e08b141877c,,,,,,,,0,0,3.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36026,,,,,,,,,,,,,,,,,,Southern Star,,,,,,,,,,,,,,,,,,/3uPAUIzpCE62X4JKEFREWqXoiDc.png,,,,,,,,,,,,,,,,,,AU,,,,,,,,,,,,,,,,,,6457d26c7b901e08b141877b,,,,,,,,,,,,,,,,,,
6457d26c7b901e08b141877d,65,The Job,The Job,"Mike McNeil is a decorated New York City detective whose toughest assignment is himself. He's struggling to balance a challenging personal life with a job that leaves him wondering on a daily basis if he is the last sane person in New York. His unconventional approach to his job makes him a great cop, even on the most trying days. The only thing he can't figure out is why, if he's the only sane guy around, everyone's always looking at him like he's crazy.",,false,Ended,en,US,,,,,,,,2001-03-14,2002-04-24,19,2,/iDiiIBZCjdihpBoDKzVRhb7C9B.jpg,18,35,,,,,,,Drama,Comedy,,,,,,,6457d26c7b901e08b1418784,6457d26c7b901e08b1418785,,,,,,,6.4,53,6.335,5724,18268,,,,,,,,,,,,,,,Denis Leary,Peter Tolan,,,,,,,,,,,,,,,6457d26c7b901e08b141877e,6457d26c7b901e08b141877f,,,,,,,,,,,,,,,56481,6996,1558,7,,,,,,,,,,,,,,,The Cloudland Company,Apostle,Touchstone Television,DreamWorks Pictures,,,,,,,,,,,,,,,,,/wwaKUcOENHix2jxLfFBfNkCtOEQ.png,/vru2SssLX3FPhnKZGtYw00pVIS9.png,,,,,,,,,,,,,,,US,US,US,US,,,,,,,,,,,,,,,6457d26c7b901e08b1418780,6457d26c7b901e08b1418781,6457d26c7b901e08b1418782,6457d26c7b901e08b1418783,,,,,,,,,,,,,,,
6457d26c7b901e08b141878c,69,Pavarchin,پاورچین‎,"Pavarchin is an Iranian television comedy serial. It was broadcast for the first time by the IRIB in September 2002 until March 2003. It could usually be seen every night at 8:00 p.m. Tehran time on Tehran TV, also known as Channel 5 in Iran. Later due to the popularity of the show, episodes were shown in syndication on various Iranian provincial channels as well as IRIB 1 & IRIB 2 for those living out of the country. The show stopped airing in March 2003. It was directed by Mehran Modiri.",,false,Ended,fa,IR,,,,,,,,2002-09-10,2002-10-30,51,1,/vxBvlmWwCkT7qinDz4BQM8bK4cA.jpg,35,,,,,,,,Comedy,,,,,,,,6457d26c7b901e08b141878e,,,,,,,,8,2,1.54,1212648,,,,,,,,,,,,,,,,Mehran Modiri,,,,,,,,,,,,,,,,6457d26c7b901e08b141878d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
